instante;arquivo;canal;status;detalhe;dry_run
2026-07-30T11:44:20;amarelo_20601.txt;telegram+email;dry-run;"chars=8602; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_20602.txt;telegram+email;dry-run;"chars=8602; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_20603.txt;telegram+email;dry-run;"chars=8602; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_20604.txt;telegram+email;dry-run;"chars=8602; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_20605.txt;telegram+email;dry-run;"chars=8602; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_20606.txt;telegram+email;dry-run;"chars=8602; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_20617.txt;telegram+email;dry-run;"chars=8558; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_20618.txt;telegram+email;dry-run;"chars=8403; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_20754.txt;telegram+email;dry-run;"chars=8312; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_21940.txt;telegram+email;dry-run;"chars=8125; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_26131.txt;telegram+email;dry-run;"chars=8450; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_26138.txt;telegram+email;dry-run;"chars=8537; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_26146.txt;telegram+email;dry-run;"chars=8449; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_26534.txt;telegram+email;dry-run;"chars=8134; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_27954.txt;telegram+email;dry-run;"chars=8327; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_31578.txt;telegram+email;dry-run;"chars=8141; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_31620.txt;telegram+email;dry-run;"chars=8170; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_31954.txt;telegram+email;dry-run;"chars=8335; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_32261.txt;telegram+email;dry-run;"chars=8303; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_32398.txt;telegram+email;dry-run;"chars=8154; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_32421.txt;telegram+email;dry-run;"chars=8315; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_32445.txt;telegram+email;dry-run;"chars=8318; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_33355.txt;telegram+email;dry-run;"chars=8324; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_33960.txt;telegram+email;dry-run;"chars=8324; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_34145.txt;telegram+email;dry-run;"chars=8373; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_34146.txt;telegram+email;dry-run;"chars=8374; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_34731.txt;telegram+email;dry-run;"chars=8341; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_34732.txt;telegram+email;dry-run;"chars=8329; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_34733.txt;telegram+email;dry-run;"chars=8350; emails_piloto=0";sim
2026-07-30T11:44:20;amarelo_34734.txt;telegram+email;dry-run;"chars=8169; emails_piloto=0";sim
