instante;arquivo;n_barragens;versao_pesos;roxo;vermelho;laranja;amarelo;verde
;idap_20260729_214349.csv;1248;;;;;;
;idap_20260730_090714.csv;1248;;;;;;
;idap_20260730_093837.csv;1248;;;;;;
;idap_20260730_095426.csv;1248;;;;;;
;idap_20260730_095446.csv;1248;;;;;;
;idap_20260730_095616.csv;1248;;;;;;
;idap_20260730_095808.csv;1248;;;;;;
;idap_20260730_150428.csv;1248;;;;;;
;idap_20260802_150306.csv;1248;;;;;;
;idap_20260802_174807.csv;1248;;;;;;
2026-08-02T18:10:21-04:00;idap_20260802_181021.csv;1248;0.1.0-metodologica;0;0;0;129;1119
2026-08-03T07:53:17-04:00;idap_20260803_075317.csv;1248;0.1.0-metodologica;0;0;0;129;1119
2026-08-03T07:59:50-04:00;idap_20260803_075950.csv;1248;0.1.0-metodologica;0;0;1;161;1086
